Gene	Direction
Cxcl13	D2_All
Slfn4	D2_All
C3	D2_All
Cd68	D2_All
Cd74	D2_All
C4b	D2_All
Gbp2	D2_All
Adgre1	D2_All
Plac8	D2_All
Cybb	D2_All
Itgal	D2_All
Itgam	D2_All
Serping1	D2_All
C1qb	D2_All
Ifit1	D2_All
Mpeg1	D2_All
Ptprc	D2_All
Rnf213	D2_All
Ifi44l	D2_All
Ncf1	D2_All
Cxcl9	D2_All
Ctsh	D2_All
Lcp2	D2_All
Stat1	D2_All
Cp	D2_All
Gbp5	D2_All
Parp14	D2_All
Lgals3bp	D2_All
Sp100	D2_All
Siglec1	D2_All
Cd53	D2_All
Dock8	D2_All
Ifit2	D2_All
Lcp1	D2_All
Slfn5	D2_All
Ptpn6	D2_All
Plek	D2_All
Parp9	D2_All
Anxa3	D2_All
Ctsc	D2_All
Casp4	D2_All
C2	D2_All
Axl	D2_All
Nckap1l	D2_All
Csf1r	D2_All
Usp18	D2_All
Lyn	D2_All
Epsti1	D2_All
Oas2	D2_All
Ddx60	D2_All
Evi2b	D2_All
Samd9l	D2_All
Gpnmb	D2_All
Grn	D2_All
Ctsz	D2_All
Pld4	D2_All
Cfh	D2_All
Itgb2	D2_All
Fyb	D2_All
Irf7	D2_All
Ifih1	D2_All
Trim25	D2_All
Cxcl17	D2_All
Dock2	D2_All
Psmb8	D2_All
Ifi44	D2_All
Gfap	D2_All
Casp1	D2_All
F10	D2_All
Cd84	D2_All
Ddx58	D2_All
Ifi27	D2_All
Trim5	D2_All
B2m	D2_All
Laptm5	D2_All
Eif2ak2	D2_All
Rsad2	D2_All
Apbb1ip	D2_All
Inpp5d	D2_All
Herc6	D2_All
Oasl2	D2_All
Ifit3	D2_All
Zc3hav1	D2_All
Sp110	D2_All
Dtx3l	D2_All
Cd4	D2_All
Csf2rb	D2_All
Slfn2	D2_All
C3ar1	D2_All
Dapp1	D2_All
Tmem176a	D2_All
Mki67	D2_All
Ubd	D2_All
Dhx58	D2_All
Igtp	D2_All
Slc17a7	D2_All
Lpcat2	D2_All
Scimp	D2_All
Rarres1	D2_All
Rac2	D2_All
Uba7	D2_All
Ctss	D2_All
Btk	D2_All
Cxcl10	D2_All
Stat2	D2_All
Slc11a1	D2_All
Slamf9	D2_All
Ly86	D2_All
C1qa	D2_All
Rpl10a	D2_All
Cxcl16	D2_All
Clec4a3	D2_All
Wdfy4	D2_All
Tlr7	D2_All
Parp12	D2_All
Cyba	D2_All
Cd86	D2_All
Pik3ap1	D2_All
Tgfbr1	D2_All
Cd37	D2_All
Pla2g4a	D2_All
Cyth4	D2_All
St14	D2_All
Fcgr2b	D2_All
Tlr1	D2_All
Ucp2	D2_All
Msn	D2_All
Tmem176b	D2_All
Ifi47	D2_All
Pik3cg	D2_All
Tlr13	D2_All
Phf11b	D2_All
Tgfb1	D2_All
Sp140	D2_All
Clec12a	D2_All
Tlr3	D2_All
Itga4	D2_All
Clec2g	D2_All
Vav1	D2_All
Myo1f	D2_All
Clec4a1	D2_All
Mafb	D2_All
P2ry13	D2_All
Was	D2_All
Vwa5a	D2_All
Hck	D2_All
Lgmn	D2_All
Hk2	D2_All
Irf1	D2_All
Arhgap17	D2_All
Cd33	D2_All
Vcam1	D2_All
Mlkl	D2_All
Slc15a3	D2_All
Rgs1	D2_All
