HDAC5_D2_3	HDAC5_D2_4	HDAC5_D2_1	HDAC5_D2_2	WT_D2_3	WT_D2_4	WT_D2_1	WT_D2_2
Abcb7	6.73556481824509	6.50150561182399	6.30745962800215	6.0855762569574	6.53879216424406	6.33949335281665	6.4850337073133	6.17654780185917
Abcb8	7.18779447457873	7.1513515768975	7.27826629666513	7.37480372570982	7.42768132428397	7.32913609301128	7.32251665830832	7.33158167043906
Abcb9	6.74134224000618	6.59788569290063	6.73794517185938	6.84869160996788	6.8904721993106	6.92770885177362	6.93225701151604	7.00450595616738
Abcc1	6.91601049830519	6.75292030953992	6.60474578757625	6.27648162752196	6.39825960260763	6.40958206869224	6.41278307086321	6.29933246865144
Abcc10	6.06110595688853	5.97605560189304	6.17870255079862	6.16866315598963	6.02975893800872	6.15803966609962	6.00981867677163	6.1719403638312
Abcc12	4.00909760874381	4.04008007230229	4.26918809068504	4.42568992586814	4.21355866509089	4.237758884986	4.1647746088912	4.37570294173761
Abcc2	3.92648442201666	3.85452334706244	4.08660117752863	4.2278518576768	3.9772988850323	4.20847889290907	4.05343791250911	4.22547986541592
Abcc3	5.25629668528677	5.28979776414299	5.20357990809513	5.22556006371225	4.90997977678318	5.03803577838442	5.07764812311025	5.12401402530652
Abcc4	5.55645187000724	5.92488750903177	5.67739286442416	5.57604537176281	5.39285507101309	5.37519417088869	5.44696830246152	5.54764950795346
Abcc5	8.28716977663166	8.1040703624813	7.96110558335525	7.7158215879892	7.91308499949786	7.95799144365248	7.93008542446027	7.69543485319409
Abcc6	5.36532108342595	5.33723750463725	5.59225871576074	5.73439365806722	5.44209683211382	5.58566114568249	5.48562740417659	5.76894813588526
Abcc8	6.36261067938947	6.02542800170478	6.13094188333253	6.21922356223508	6.24448019564795	6.33138538249383	6.39358543428974	6.39045413139569
Abcc9	5.28619312554738	5.41444409358706	5.4139885456078	5.57359171244502	5.13734323322259	5.22063926854146	5.2336729974973	5.3107731959718
Abcd1	6.43765702120933	6.26784652411367	6.29470672071949	6.03587203309693	5.9778683823438	5.94647288408988	5.93401453171173	6.02044691244005
Abcd2	7.08303213725269	6.77475154739173	6.94270699885562	6.62780965691061	7.11361681265206	7.07762908229715	6.94280255985836	6.97968943963771
Abcd3	8.2473781060704	7.98325386129249	7.72513449238969	7.45223204089234	7.83044187866055	7.85613892428098	7.92855171122518	7.59161379964784
Abcd4	5.39626517425968	5.37551930272458	5.57293670525003	5.68932553897381	5.42157106295716	5.48716437164449	5.3638237772875	5.44043599705288
Abce1	8.28300768002719	8.10824816830555	7.96340626767679	7.82337529689754	8.03342644547298	8.05954178726585	8.07373038886541	7.80381059165746
Abcf1	7.66194289246337	7.56162403928358	7.55771471794089	7.5062511849412	7.56101467432355	7.46114513951147	7.52777893558785	7.50450303006304
Abcf2	8.3259390713435	8.17446636228924	8.18512459680169	8.1090084304258	8.29149295021212	8.32173141065547	8.27345440293863	8.15309877429484
Abcf3	7.81263012875077	7.70511939396133	7.65761931934877	7.58495190620476	7.67831966787484	7.69630271609459	7.71890241043704	7.65224137647113
Abcg1	8.47109654297585	8.08523953304274	8.08602603422821	7.77204222730467	7.9540523147387	7.85164887687764	7.84862436217259	7.66987169426279
Abcg2	4.30939451994723	5.08353849629009	4.60546204700385	4.76644558894032	4.50993038933929	4.50683948487118	4.65114275003036	4.5936659117145
Abcg4	7.26653709603959	7.17720985175471	7.16291417992676	7.15616705617324	7.38231517859294	7.2382759735619	7.32430450297157	7.24115089257261
Abcg5	4.10146675317227	3.99279794946953	4.26515117417936	4.41380060407621	4.2635128287724	4.32319169876585	4.19961500222702	4.29952869496289
Abcg8	4.40424763297279	4.27474410548834	4.56783859340722	4.82099544869011	4.47210224134859	4.51713108039123	4.47729981378714	4.64619471269202
Abhd10	6.18836520187925	5.97046814001979	6.08131182659597	6.30987546187583	6.71938461301064	6.19389858680736	6.59798923579682	6.65591118358551
Abhd11	6.40638048361521	6.43615641376231	6.51133374653735	6.75037609977117	6.61396904869792	6.52019265075144	6.58670772909477	6.5670497302983
Abhd12	7.86839242817541	7.95720138096134	7.78676822290568	7.90119809258801	7.94606321140197	7.89462034424682	8.0436627950477	7.9238175964866
Abhd12b	3.29091807465596	3.14183258889439	3.27892626591395	3.62304944746811	3.43764405450768	3.68236953688927	3.61491826309112	3.5057198845998
Abhd13	5.86362514045064	5.93199925470276	5.74467895355403	5.87932550533703	5.96928702077259	5.82036971172161	6.04198200057936	5.89537622941556
Abhd14a	5.42995265422082	5.50703310127731	5.58385250435584	5.71378263175154	5.48239360800549	5.78670770374024	5.6180518696093	5.68584342290003
Abhd14b	5.77441318292241	5.91301927745211	5.98293546575115	6.02246119969324	5.84111485827033	5.94498868495519	5.88715921966173	6.11428685294536
Abhd15	4.7914637208775	5.56706806983327	5.41961199526276	5.0534274409143	4.77462468615722	5.06249747122963	4.64345467738235	4.94011862892337
Abhd16a	6.93849706687887	6.96004635487167	6.9885147306716	7.07565895711038	7.02410486368462	7.03157168111305	7.04407582896143	7.0678927552405
Abhd16b	3.89650477285618	3.89470682440911	4.00229029871537	4.18900141826085	4.12667000954909	4.13949293660666	4.1790306973048	4.29758702637861
Abhd17a	6.69205551943648	6.90375951379339	6.94867835269139	7.00182013327123	6.97838144197598	6.99161963754732	6.93684981163194	7.08894824694557
Abhd17b	6.80697570001868	6.87227646526949	6.5813758215619	6.6326565316733	6.78959814948581	6.74457082468297	6.99234792921212	6.87509358119182
Abhd17c	6.0954425570749	6.19284281484146	6.29154717835793	6.40070841321028	6.36895690436059	6.28380890511631	6.285994590535	6.39086571207524
Abhd18	4.92853357637569	4.89048206007748	4.82597337087406	4.59835110862898	4.81505783310098	4.74099876222461	4.70040492768135	4.60571155525848
Abhd2	8.13864208749651	8.08193507874022	7.77311694008675	7.75288793840042	7.89725093114885	7.78687512312574	8.05874950207689	7.83800816757917
Abhd3	7.46801056358816	7.9749703445188	7.48052436272195	7.50777166524927	7.60203287930623	7.37134300890818	7.69784691192594	7.61098536237304
Abhd4	7.85436105641575	8.22720190204207	7.92317574378226	7.59182504159091	7.49891241514028	7.46817140194605	7.4746256432918	7.55293234408711
Abhd5	5.46114673666612	5.4938127674688	5.55502874182238	5.51437992171055	5.51770043406931	5.59764590338982	5.52154098288777	5.64502341082586
Abhd6	7.19215504698735	7.29960258977322	7.20532017460415	7.05119386941544	7.21578856273089	7.24342701471187	7.17553961031394	7.14041227113549
Abhd8	7.526440535469	7.7823072492607	7.93003418669462	8.25504918639013	8.08030901877123	7.91717399515679	7.9919925354387	8.20480018135211
Abi1	8.18387229752468	8.09834670240725	8.02167816726803	7.9582600261597	8.18209404336542	8.17425113574266	8.2061551955202	8.08667588316498
Abi2	8.63923436260177	8.63716479062683	8.50770493027673	8.62847566696441	8.98275315092661	8.8865203147665	9.01581204262098	8.796402632807
Abi3	5.96521393680644	6.11649878159188	6.2149264450312	5.91729288032118	5.60257253960454	5.58783336419443	5.43055313679754	5.74702724296777
Abi3bp	4.13768243046738	4.12991144373275	4.26472279942348	4.1051565204946	3.93438139071648	4.02381328810575	4.1459779084303	4.90115705004438
Abl1	8.02130040179117	7.96571140834094	8.03364215354824	7.76608212017674	7.95953234079384	8.04228279592667	7.80419763758875	7.75861030638161
Abl2	7.12916610193081	7.06187562647622	7.00289553526124	6.87165734383554	7.15975962371008	7.13070144998489	7.12034389436285	7.01655814293473
Ablim1	7.43132633074691	7.53124338905888	7.42335409939546	7.26707063797391	7.41616034197781	7.48036837362811	7.41223947585142	7.38061165235502
Ablim2	7.68393739551855	7.71889944999355	7.71797794597136	7.81699029146578	8.06158164600538	8.14333812772117	8.05519126314104	7.89476071663276
Ablim3	7.0829626361991	7.0099180142964	7.19399556589846	7.31774544551929	7.43250657439608	7.40014654603954	7.32792590773247	7.32248520444241
Abo	5.0304784794773	5.13777295232821	5.14096640645993	5.17977729897181	5.11490154972676	5.21362919425014	5.16124656874934	5.23007945087359
Abr	9.91596728559267	9.84219577044991	9.79752946850946	9.51004505213832	9.81102188621944	9.82237562761803	9.71712311339785	9.64235212370357
Abra	4.66163200879312	4.83847144641706	4.83600499118935	5.07806198567614	4.68894646300858	4.82679023826086	4.94792689891466	5.25789352815627
Abracl	5.20124549652009	5.34653053969153	5.58159458670584	5.70901412648145	5.55603586651625	5.56238933404129	5.43290666242211	5.66828838413325
Abt1	5.88623651004251	5.83484210908257	5.94045139774182	6.11330981355594	6.00135223971422	5.97446741460104	6.03152746830009	6.10572851112944
Abtb1	6.23328496160902	6.21418139124321	6.21188055886915	6.29036970268863	6.25306464078414	6.24520128765111	6.30204972655811	6.30568887230566
Abtb2	5.82740802717165	5.7010348209211	5.85780129498688	5.642816659259	5.62516240764213	5.72724351515627	5.55729245203095	5.72161581090335
Acaa1b	5.74981719461893	5.83210467849072	5.88384082514087	5.96958004238493	5.86363387057047	5.92475295379061	5.86210043721454	5.89793504721058
Acaa2	6.23724974764691	6.445963573289	6.26975210809395	6.02015294221253	6.21464334740389	6.11141056837731	6.16830678392359	6.28475649712297
Acaca	7.7321911852027	7.53205580420812	7.26104524188433	6.80506673609024	7.32827718935007	7.33094170155682	7.33424460554632	7.057336925884
Acacb	5.00984240051811	5.0012379528194	5.27817139084993	5.34107071100158	5.09975355134594	5.24711918239038	5.04685123330922	5.27604407440205
Acad10	5.66346045729915	5.68479455699065	5.75652668400138	5.67487274258668	5.71368673890204	5.64623633644184	5.57366882551684	5.60753569633429
Acad11	5.21427344907323	5.47815590082735	5.23030241165308	5.08390168448233	5.02098148141958	5.09385834795121	5.07908313857739	5.03698578693773
Acad8	6.22570204051496	6.36737853643047	6.39703975758762	6.37203162936743	6.29575351124551	6.30942742779944	6.22056445904117	6.28251950452854
Acad9	6.85449521249303	6.65280175416297	6.53606026408236	6.4648508034532	6.75047659024642	6.73769084849257	6.79357045358601	6.52857694415692
Acadl	6.76398518006248	7.1019209076138	6.65590499604556	6.15239871884572	6.36473635199416	6.19165414687567	6.312525853513	6.33059724328387
Acadm	6.73958908366695	6.85657762221239	6.65932536484656	6.44976438686731	6.61834849090601	6.54896756655167	6.60116043827645	6.56821025916468
Acads	5.69916536143377	5.63223784441932	5.79154030247408	5.95618869732266	5.82729711277475	5.7615054590637	5.83782733624194	6.01170844113384
Acadsb	7.47776978276576	7.39508732261908	7.02277331633424	6.885706128839	7.06622282646345	7.19535844373219	7.23666227190207	6.75816226028943
Acadvl	7.03270859645293	6.95077821234284	6.90586111567744	6.68187945935535	6.72031682845394	6.76308229350453	6.67328480637102	6.58867237603581
Acan	5.1281372386624	4.97244165515298	5.18898083992965	5.15732209332725	5.1215027027446	5.23527695924902	5.11971645281312	5.31141122909207
Acap1	4.85496919068447	4.858952904694	4.95609548009783	4.94998938862399	4.69748414547921	4.76462927633057	4.71240378344749	4.87947288482372
Acap2	8.0535170212901	7.87127067897304	7.60607320822853	6.9991992101222	7.42946535061199	7.49132416060333	7.44971916955358	7.32260071174565
Acap3	7.48913910815537	7.64185638591851	7.5322353086605	7.45719639039933	7.32594694911525	7.42664604337694	7.37648965817637	7.38539002354524
Acat1	7.69487209102153	7.58989595764719	7.43682130491019	7.300169628529	7.57566828298761	7.54383403753297	7.63057288783668	7.49774258052231
Acat2	5.87909926782401	6.07792009847896	5.8896085074806	5.88830947747353	6.11070014377182	6.05911468254851	6.15541011863637	6.11991220825407
Acbd3	7.19244155053838	7.18317152465614	7.1377795682994	7.24306487509267	7.28364109633078	7.19180632897614	7.26936480433025	7.12730774229481
Acbd4	5.97586067451659	6.05440888118095	6.1188547455485	6.25026786231252	6.22935879307359	6.24016301304653	6.26055820501529	6.38817962756119
Acbd5	6.72464106720715	6.82034324374736	6.66704486119565	6.63685087392038	6.70018038420171	6.6405083421221	6.70322886949876	6.58829728088454
Acbd6	5.06852707960432	5.21674765282335	5.05740929055403	5.29680539323131	5.37291004193015	5.26086026696906	5.40838549819012	5.18153393167427
Acbd7	3.56471707608735	3.45268660396393	3.66312272823682	4.14386048179184	3.73814329143993	3.72299787540906	3.83984357158902	3.88649357078539
Accs	4.84387376394174	4.77221884262088	4.86116252824532	4.95849393763333	4.91715292659465	5.05018123650547	4.98220631058289	4.98818580918854
Accsl	3.25211851987387	3.16330717480377	3.3143478758554	3.65454274248966	3.30292412923881	3.41078383414523	3.45515559476005	3.52483401129502
Acd	7.20755337010711	7.23044705506736	7.16316808945208	7.18094055279063	7.18221761673174	7.19433060175071	7.17554310555764	7.02064438858161
Ace2	2.86415769479183	3.21164000017632	2.98755152477385	2.86704372810886	2.80657007712875	2.78463303662313	2.82900328320576	2.91561988710993
Ace3	5.8934755601613	5.6427764426209	5.70651472697788	5.86530401906837	5.94108464850176	5.92540625559211	5.99378760216499	5.83286006148418
Acer1	3.51679893958697	3.53402248834417	3.79418509053989	3.87943886925792	3.8008395601069	3.90120070946053	3.68684404130012	3.81078682876354
Acer2	5.55976569886583	5.98900399173015	5.66264326542797	5.67210191803393	5.60837952407945	5.64905262968545	5.7128796580127	5.64826500792721
Acer3	4.4433269252187	4.4925875924754	4.40727883013581	4.3070615959178	4.56042503156388	4.33122248029666	4.49310660010408	4.56653266524723
Ache	7.05350381968882	6.78443726510349	6.94367016175214	7.1226575512468	7.38252796479868	7.14192648905115	7.2782939083816	7.18083912051229
Acin1	7.35641838308532	7.36639139350975	7.28203285312659	7.06527967926613	7.16989128914374	7.18838196759816	7.10791104167414	7.02346897179908
Ackr1	6.87353595276098	6.83983369047673	6.68808868916004	6.82775560884454	7.22533032705005	7.0111036242254	7.29541216103961	7.17294334724126
Ackr2	5.28732845751607	5.0723856651742	5.49909213579774	5.65358685443173	5.33380393101537	5.38201105921414	5.31622340408122	5.71683065228537
Ackr3	5.21773309912143	5.58848076547174	5.41231500709474	5.51959478017613	5.22266989914613	5.14167417738054	5.25761036602418	5.31962339806079
Ackr4	4.33293372712502	4.22340799697769	4.43606766159346	4.41134280798669	4.2966004666641	4.42339354230455	4.28295687108651	4.46939505698187
Acly	8.94710918655074	8.75119434975364	8.68036991884811	8.3923610875149	9.10377091324707	9.03613752862445	8.95471182233947	8.67467215787194
Acmsd	3.17655669775806	3.23013833597685	3.26613325642325	3.66917991324926	3.25373217296846	3.40302459343547	3.46609452904195	3.46405164300752
Acnat2	4.15352350017316	4.03346122637767	4.40982774147589	4.51471758111787	4.34174493456005	4.42596837348831	4.24668607573185	4.50012583590618
Aco1	7.64576209817141	7.41994317556576	7.24724378914658	6.74755091406167	7.12926750732361	7.24377259042535	7.11063547795349	6.88734151575242
Aco2	10.1738166686683	9.93592879694393	9.85202617504758	9.62785727646297	10.0592493637387	10.0322352944217	10.0329339761125	9.82579305324452
Acot1	5.41495026719828	5.72051374101995	5.39472682228308	5.24324893965761	5.47937173337226	5.32578566739906	5.42895534141503	5.28717614244716
Acot11	5.67718012382938	5.55637006218058	5.73347488179711	5.51675953535837	5.66777722682996	5.68666084754874	5.52733541164705	5.67768308458548
Acot12	3.74084753029971	3.71843916218265	3.96404815183908	4.0875932452524	3.97136749064444	3.94872462211247	3.87440355414966	4.04838306747456
Acot13	6.56517246289317	6.71105958956765	6.73910804231716	7.27895129279613	7.16555719561983	6.87869574005377	7.17394152335894	7.13971241609774
Acot2	5.15683579839885	5.12037107570781	5.09944346598576	5.08687474686542	5.16042207124263	5.21486876556781	5.20207382068171	5.16517940221989
Acot3	6.70561116590146	6.56335557147753	6.50366227412727	6.6325702415681	6.70054768165833	6.70830196086085	6.79473719921765	6.58481179856849
Acot4	6.65169739258727	6.54224830630102	6.84257475659077	6.85182485434253	6.76180530758867	6.71092952416252	6.63529124430375	6.91509261770153
Acot5	2.56209719022861	2.33139699687245	2.6172811725526	2.85158200032878	2.93200864413584	2.95391157720012	2.857954445232	2.79471044458798
Acot6	4.28761790163882	3.83015539577509	4.34419805730874	4.36304675753636	4.22262159596071	4.44399172355367	4.08369100174875	4.13623380270782
Acot7	7.39496405873388	7.49854142439279	7.51207094164036	7.71858970608969	7.8288349589883	7.70462739340582	7.80459477428215	7.80443960615707
Acot8	5.75742648523695	5.78815929439726	5.96809837140498	6.12552116036978	5.92115585579288	5.99781720773768	5.9043168977395	6.02716580389889
Acot9	6.10428736341349	6.10526744485326	5.85205120134688	6.04615944719608	6.45389249332257	6.28388499110089	6.58877769802975	6.32899495824358
Acox1	8.59808730323935	8.50552981717578	8.30606030911499	8.02545564318961	8.43181899149544	8.34531592296201	8.37441202696774	8.135209330186
Acox2	3.97499624736812	3.91945764575668	4.11236020017791	4.09924830145579	3.98081998264754	4.12873552633855	4.00072902911286	4.23600998430564
Acox3	6.45772174088928	6.51097736176965	6.50269733154815	6.36687977160154	6.47179254362942	6.57740752427103	6.43605355564551	6.43147371942006
Acoxl	3.16763830563629	3.28263979109745	3.40906727994212	3.47741749542499	3.24740288750286	3.39453915961184	3.25137203087764	3.41168029318584
Acp1	7.38039721796439	7.7293767117475	7.53846431551429	8.1409101042117	8.06861278332225	7.69521242528587	8.11517538502421	7.94640985908377
